suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Bulimba|2123000|1078000|0.51|205000|141390|5.1|0|0|0|97|1457.63|54|30|2120.33|0|13|3|2|2|0| As per agreements| Management Rights Sales|Greg Jorgensen|" Swimming pools, BBQs, Security parking, Gym, Storage, Cable TV, CCTV, Broadband and Wi-Fi
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3883156|"QUALITY, STYLE, LOCATION, OPPORTUNITY - ID 8892
              "|Brisbane Management Rights For Sale|" Well appointed inner city town home, High quality design, Open plan, High ceilings, Ducted air conditioning, Smeg appliances, Large balcony
                       "|No| 3 weeks ago.|3883156|2018-08-22
Woolloongabba|1270000|0|0|235615|0|5.4|25|18|0|69|0|0||0|0|0|0|0|0|0| | Resort Brokers|Nathan Eades|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Woolloongabba-QLD-3881236|"Two of the Easiest Businesses with No Real-Estate | Resort Brokers ID : MR005250
              "|Gabba Lifestyle Managers owns and runs 2 management rights within walking distance of each other in the central Gabba area of central Brisbane. The current owners outsource all duties to property management staff and a part time caretaker (all wages added back to the P&L) and have a very passive role in the businesses. The caretaking of the buildings are ridiculously low, in fact the two easiest buildings we have ever sold!|" 
                       "|no| 2 months ago.|3881236|2018-08-22
Hillcrest|1199000|440000|0.37|158000|72474|4.8|25|24|0|60|1207.9|0|52|1644.73|0|0|3|2|2|1| NIL| Resort Brokers|Jessica  Wilkie|" Pool, BBQ, gym
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3875908|"Must Sell Due to Serious Health Issues - Perfect for First Time Buyer | Resort Brokers ID : MR005226
              "|Live in the beautiful southside suburb of Hillcrest and earn a generous remuneration salary of $72,474 (net profit of $158,014). Manage 53 units in this outstanding 60 unit complex all while enjoying a flexible work/life balance.|" Spacious, open plan, three-bedroom, two-bathroom, double lockup garage, townhouse. Has own street access within the complex. Grassed backyard and own garden. Modern kitchen with stainless appliances and large island bench. King-sized master bedroom and queen sized guest rooms.
                       "|yes| 4 months ago.|3875908|2018-08-22
Eight Mile Plains|540000|410000|0.76|37375|33207|3.5|25|16|0|16|2075.44|0|4|1042|0|0|3|2|1|1| No office hours required| Joy Realty|Kobe Xu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881892|"Great Investement Opportunity at Eight Mile Plains
              "|This Complex is located at Eight Mile Plains, Only 3 minutes drive to Market Square Sunnybank|" 
                       "|No| 1 week ago.|3881892|2018-08-22
SOUTH BRISBANE|890400|0|0|168000|118035|5.3|20|15|0|68|1735.81|25|20|2498.25|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SOUTHBRISBANE-QLD-3883603|"South Brisbane's Best Complex
              "|This magnificent complex is positioned in a very highly sought out location with stunning views of the South Bank Parklands and Brisbane River. Exotic out door dinning and so many restaurants to choose from, its no wonder why South Bank is a popular place to visit.|" 
                       "|Yes| 2 weeks ago.|3883603|2018-08-22
Taringa|0|0||15253|15773|3.9|25|12|13|9|0|7||0|0|2|0|0|0|0| NONE REQUIRED| Mr Brady (Management Rights)|Don Brady|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Taringa-QLD-3878553|"Caretaking Only Business
              "|This is a Caretaking Only Business requiring a few short hours per work to operate. Only in a complex of 9 units with minimal work.|" NO MANAGERS UNIT TO PURCHASE
                       "|No| 2 months ago.|3878553|2018-08-22
Browns Plains|1205000|380000|0.32|158000|89000|5.2|25|18|18|65|1369.23|14|51|1352.94|0|0|4|3|4|1| Specified in Contract| Joy Realty|Robert Lin|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3874410|"Management Rights
              "|The Complex is located in Browns Plains, close to Schools, shops and public transport, it is also within Stretton college catchment area, very easy to find tenants. High salary make business fantastic. |" 
                       "|Yes| 1 week ago.|3874410|2018-08-22
South Brisbane|3428000|640000|0.19|480000|172676|5.8|25|24|12||0|0|78|0|0|0|3|2|2|0| Monday - Friday 10am - 2pm| Shine Realty|Celine Tseng|" Swimming pool, Spa, BBQ, Gym, Theatre Room
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3881704|"Perfect Location & Big Income
              "|Location! Location! Location!!|" 3 bedroom, 2 bath room, large courtyard,
                       "|Yes| 1 month ago.|3881704|2018-08-22
Fortitude Valley|1277500|670000|0.52|135000|68727|4.5|25|21|14|43|1598.3|17|22|3012.41|0|4|3|2|2|1| No set office hours| Shine Realty|Celine Tseng|" Swimming Pool, Barbecue
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/FortitudeValley-QLD-3882897|"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "||" 
                       "|Yes| 1 week ago.|3882897|2018-08-22
Dakabin|1440000|399000|0.28|208000|109000|5|25|21|0||0|0|68|0|0|0|4|2|2|1| no| SIRE Management Rights|Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Dakabin-QLD-3880433|"Are you looking for secure income, secure letting pool, investor complex with big salary?
              "|Not required to live onsite,|" 
                       "|No| 2 weeks ago.|3880433|2018-08-22
Springwood|885254|545000|0.62|75612|68400|4.5|25|25|0|57|1200|44|6|1202|0|6|4|2|1|1| not in caretaking agreement| Resort Brokers|Jessica  Wilkie|" pool and bbq area
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3876639|"Lifestyle! Securityâ  Brand New 25 Year Agreements! Minimal Caretaking!  | Resort Brokers ID : MR005232
              "|Secure the Management Rights for a suburban townhouse complex of 57 units completed November 2017. Solid Body corporate Salary of $68,400. Enjoy your lifestyle in a luxury 4 bedroom + office managers unit!|" four bedroom, two bathroom , attached office, single lock-up garage, sleek kitchen, stone benchtops, european appliances, gas cooktops, open plan lounge
                       "|yes| 4 months ago.|3876639|2018-08-22
Eight Mile Plains|0|650000||243086|104046|5.5|25|21|9||0|0||0|0|0|4|2|0|1| NO| SIRE Management Rights|Richard Skiba and Jessica Dong|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971|"Great Lifestyle Business
              "|Managers  Residence:|" - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "|No| 2 weeks ago.|3881971|2018-08-22
